# PAH Candidate Gene Mining Results
# Generated: 2026-04-14 07:08:51
# Total unique genes: 851
# Standard panel genes penalised: ABCC8, ACVRL1, ATP13A3, BMPR1B, BMPR2, CAV1, ENG, FOXF1, GDF2, KCNK3, SMAD9, SOX17, TBX4
# Context: Familial PAH, WGS trio, GRCh38, consanguinity=0.47
#
RANK	GENE_SYMBOL	SCORE	N_PAPERS	YEARS	CITATION_TOTAL	PMIDS	TITLES_BRIEF	KEY_SENTENCES
1	BMPR2	462	72	2019-2026	1169	36506323,38991711,39367156,39345371,38561801,40180617,34953004,38473983,41133550,35852389,39932607,41159679,36522764,37094738,32159364	Genes in pediatric pulmonary arterial hypertension and the most promising BMPR2  | Deep phenotyping of unaffected carriers of pathogenic BMPR2 variants screened fo | Whole-exome sequencing reveals the genetic causes and modifiers of moyamoya synd	Since the first-identified pathogenic gene of PAH, BMPR2, which encodes bone morphogenetic protein receptor 2, a receptor in the transforming growth factor-&#x3b2; superfamily, was discovered, novel c ||| Pathogenic variants in the gene encoding for BMPR2 are a major genetic risk factor for heritable pulmonary arterial hypertension. ||| Genes involved in the development of pulmonary arterial hypertension (PAH), such as ABCC8 and BMPR2, were also identified as potential modifiers.
2	TBX4	182	27	2019-2026	566	36506323,35914404,40180617,41133550,35852389,37821225,38044468,39467966,31727138,33971972,40126773,37801629,40604975,36533232,35346192	Genes in pediatric pulmonary arterial hypertension and the most promising BMPR2  | Genetic and functional analyses of TBX4 reveal novel mechanisms underlying pulmo | The Role of Genetics in Congenital Heart Disease-Associated Pulmonary Arterial H	Currently, some newly identified deleterious genetic variants in additional genes implicated in childhood-onset PAH, such as potassium channels (KCNK3) and transcription factors (TBX4 and SOX17), have ||| Recent genetic studies have reported pathogenic variants in the TBX4 gene in patients with PAH, especially in patients with childhood-onset of the disease, but the pathogenesis of PAH caused by TBX4 v ||| Targeted next-generation sequencing was performed on PAH-associated genes (ABCC8, ACVRL1, AQP1, ATP13A3, BMPR2, CAV1, GDF2, GGCX, EIF2AK4, ENG, KCNK3, KDR, KLK1, SMAD1, SMAD4, SMAD9, SOX17, TBX4, TET2
3	ACVRL1	110	17	2020-2026	160	40180617,40160294,40270704,40205542,32573726,40604975,32756122,35346192,35811711,40049735,37422716,34966542,34678164,40933708,S2:205d325ee21e	The Role of Genetics in Congenital Heart Disease-Associated Pulmonary Arterial H | Case report: Novel homozygous ACVRL1 missense variant in a family with hereditar | A novel SMAD9 nonsense variant in an 11-year-old Japanese patient with diffuse p	Targeted next-generation sequencing was performed on PAH-associated genes (ABCC8, ACVRL1, AQP1, ATP13A3, BMPR2, CAV1, GDF2, GGCX, EIF2AK4, ENG, KCNK3, KDR, KLK1, SMAD1, SMAD4, SMAD9, SOX17, TBX4, TET2 ||| Hereditary hemorrhagic telangiectasia (HHT) is an autosomal dominant vascular disorder caused by pathogenic variants in genes within the transforming growth factor beta (TGF-&#x3b2;) signaling pathway ||| HHT is typically caused by loss-of-function gene mutations in the genes ENG, ACVRL1, or SMAD4, all participating in transforming growth factor &#x3b2; (TGF-&#x3b2;) family signaling pathways.
4	SOX17	94	13	2020-2026	299	36506323,39603521,40180617,33971972,33632800,37895315,33952808,37066790,35346192,37422716,38655005,31917901,32006592	Genes in pediatric pulmonary arterial hypertension and the most promising BMPR2  | SOX17-Associated Pulmonary Hypertension in Children: A Distinct Developmental an | The Role of Genetics in Congenital Heart Disease-Associated Pulmonary Arterial H	Currently, some newly identified deleterious genetic variants in additional genes implicated in childhood-onset PAH, such as potassium channels (KCNK3) and transcription factors (TBX4 and SOX17), have ||| To characterize clinical, hemodynamic, imaging, and pathologic findings in children with pulmonary arterial hypertension (PAH) and variants in SRY-box transcription factor 17 (SOX17), a novel risk gen ||| Targeted next-generation sequencing was performed on PAH-associated genes (ABCC8, ACVRL1, AQP1, ATP13A3, BMPR2, CAV1, GDF2, GGCX, EIF2AK4, ENG, KCNK3, KDR, KLK1, SMAD1, SMAD4, SMAD9, SOX17, TBX4, TET2
5	ENG	83	14	2019-2026	175	40180617,40270704,32159364,32573726,30218748,32756122,35346192,35811711,40049735,37422716,34678164,S2:205d325ee21e,S2:c111531f2826,41555917	The Role of Genetics in Congenital Heart Disease-Associated Pulmonary Arterial H | A novel SMAD9 nonsense variant in an 11-year-old Japanese patient with diffuse p | Comprehensive identification of signaling pathways for idiopathic pulmonary arte	Targeted next-generation sequencing was performed on PAH-associated genes (ABCC8, ACVRL1, AQP1, ATP13A3, BMPR2, CAV1, GDF2, GGCX, EIF2AK4, ENG, KCNK3, KDR, KLK1, SMAD1, SMAD4, SMAD9, SOX17, TBX4, TET2 ||| HHT is typically caused by loss-of-function gene mutations in the genes ENG, ACVRL1, or SMAD4, all participating in transforming growth factor &#x3b2; (TGF-&#x3b2;) family signaling pathways. ||| We conducted WES in 20 unrelated IPAH patients who did not carry the known PAH-pathogenic variants among BMPR2, CAV1, KCNK3, SMAD9, ALK1, and ENG.
6	GDF2	82	11	2019-2026	356	40180617,38473983,31727138,33971972,32573726,39939060,35346192,34199176,37422716,S2:205d325ee21e,33066286	The Role of Genetics in Congenital Heart Disease-Associated Pulmonary Arterial H | Hemodynamic and Clinical Profiles of Pulmonary Arterial Hypertension Patients wi | Novel risk genes and mechanisms implicated by exome sequencing of 2572 individua	Targeted next-generation sequencing was performed on PAH-associated genes (ABCC8, ACVRL1, AQP1, ATP13A3, BMPR2, CAV1, GDF2, GGCX, EIF2AK4, ENG, KCNK3, KDR, KLK1, SMAD1, SMAD4, SMAD9, SOX17, TBX4, TET2 ||| In a total of 69 patients, the highest incidence of variants was found in the BMPR2, ATP13A3, and GDF2 genes. ||| We also confirmed the genome-wide association of recently reported growth differentiation factor (GDF2) with IPAH and further implicate T-box 4 (TBX4) with child-onset PAH.
7	SMAD9	70	11	2019-2026	143	40180617,40270704,32159364,35346192,35811711,40049735,37422716,34678164,31382961,S2:c111531f2826,33066286	The Role of Genetics in Congenital Heart Disease-Associated Pulmonary Arterial H | A novel SMAD9 nonsense variant in an 11-year-old Japanese patient with diffuse p | Comprehensive identification of signaling pathways for idiopathic pulmonary arte	Targeted next-generation sequencing was performed on PAH-associated genes (ABCC8, ACVRL1, AQP1, ATP13A3, BMPR2, CAV1, GDF2, GGCX, EIF2AK4, ENG, KCNK3, KDR, KLK1, SMAD1, SMAD4, SMAD9, SOX17, TBX4, TET2 ||| She was found to carry a novel nonsense variant in SMAD9 (SMAD9-p. ||| We conducted WES in 20 unrelated IPAH patients who did not carry the known PAH-pathogenic variants among BMPR2, CAV1, KCNK3, SMAD9, ALK1, and ENG.
8	KCNK3	65	10	2020-2026	150	35204766,36506323,38546978,40180617,41133550,32159364,35346192,34065088,36291551,37422716	Channelopathy Genes in Pulmonary Arterial Hypertension. | Genes in pediatric pulmonary arterial hypertension and the most promising BMPR2  | Role of KCNK3 Dysfunction in Dasatinib-associated Pulmonary Arterial Hypertensio	Roles for rare variants in three channelopathy genes-ABCC8, ATP13A3, and KCNK3-have been validated in multiple PAH cohorts, and in aggregate explain ~2.7% of PAH cases. ||| Currently, some newly identified deleterious genetic variants in additional genes implicated in childhood-onset PAH, such as potassium channels (KCNK3) and transcription factors (TBX4 and SOX17), have ||| We discovered a KCNK3 gene (Potassium channel subfamily K member 3; coding for outward K+ channel) variant in a patient with dasatinib-associated PAH and investigated the impact of this variant on KCN
9	ATP13A3	64	9	2020-2026	162	35204766,40180617,38473983,34493544,33187088,38626311,35346192,35811711,37422716	Channelopathy Genes in Pulmonary Arterial Hypertension. | The Role of Genetics in Congenital Heart Disease-Associated Pulmonary Arterial H | Hemodynamic and Clinical Profiles of Pulmonary Arterial Hypertension Patients wi	Roles for rare variants in three channelopathy genes-ABCC8, ATP13A3, and KCNK3-have been validated in multiple PAH cohorts, and in aggregate explain ~2.7% of PAH cases. ||| Targeted next-generation sequencing was performed on PAH-associated genes (ABCC8, ACVRL1, AQP1, ATP13A3, BMPR2, CAV1, GDF2, GGCX, EIF2AK4, ENG, KCNK3, KDR, KLK1, SMAD1, SMAD4, SMAD9, SOX17, TBX4, TET2 ||| In a total of 69 patients, the highest incidence of variants was found in the BMPR2, ATP13A3, and GDF2 genes.
10	SMAD4	50	7	2020-2026	138	40180617,40270704,32573726,32756122,35346192,37422716,41555917	The Role of Genetics in Congenital Heart Disease-Associated Pulmonary Arterial H | A novel SMAD9 nonsense variant in an 11-year-old Japanese patient with diffuse p | Mutational and phenotypic characterization of hereditary hemorrhagic telangiecta	Targeted next-generation sequencing was performed on PAH-associated genes (ABCC8, ACVRL1, AQP1, ATP13A3, BMPR2, CAV1, GDF2, GGCX, EIF2AK4, ENG, KCNK3, KDR, KLK1, SMAD1, SMAD4, SMAD9, SOX17, TBX4, TET2 ||| HHT is typically caused by loss-of-function gene mutations in the genes ENG, ACVRL1, or SMAD4, all participating in transforming growth factor &#x3b2; (TGF-&#x3b2;) family signaling pathways. ||| Care delivery for HHT patients is impeded by the need for laborious, repeated phenotyping and gaps in knowledge regarding the relationships between causal DNA variants in ENG, ACVRL1, SMAD4 and GDF2, 
